pct50,time
5.7,2019-02-20
4.18,2019-02-21
7.87,2019-02-22
3.66,2019-02-23
4.69,2019-02-24
5.7,2019-02-25
7.28,2019-02-26
0.0,2019-02-27
4.65,2019-02-28
5.26,2019-03-01
7.8,2019-03-02
7.35,2019-03-03
0.0,2019-03-04
0.0,2019-03-05
0.0,2019-03-06
0.0,2019-03-07
0.0,2019-03-08
0.0,2019-03-09
0.0,2019-03-10
4.71,2019-03-11
0.0,2019-03-12
0.0,2019-03-13
0.0,2019-03-14
0.0,2019-03-15
0.0,2019-03-16
0.0,2019-03-17
0.0,2019-03-18
0.0,2019-03-19
7.31,2019-03-20
6.73,2019-03-21
7.31,2019-03-22
7.79,2019-03-23
8.3,2019-03-24
7.26,2019-03-25
6.22,2019-03-26
9.36,2019-03-27
6.19,2019-03-28
5.79,2019-03-29
7.82,2019-03-30
5.74,2019-03-31
7.75,2019-04-01
7.27,2019-04-02
8.77,2019-04-03
6.7,2019-04-04
9.91,2019-04-05
0.0,2019-04-06
5.77,2019-04-07
5.71,2019-04-08
6.26,2019-04-09
8.32,2019-04-10
7.33,2019-04-11
5.16,2019-04-12
0.0,2019-04-13
8.36,2019-04-14
6.82,2019-04-15
6.26,2019-04-16
6.27,2019-04-17
8.34,2019-04-18
0.0,2019-04-19
0.0,2019-04-20
0.0,2019-04-21
3.64,2019-04-22
8.29,2019-04-23
7.24,2019-04-24
7.83,2019-04-25
5.73,2019-04-26
2.1,2019-04-27
7.88,2019-04-28
5.24,2019-04-29
5.75,2019-04-30
4.71,2019-05-01
6.74,2019-05-02
6.17,2019-05-03
15.13,2019-05-04
6.8,2019-05-05
8.35,2019-05-06
8.85,2019-05-07
7.81,2019-05-08
5.75,2019-05-09
6.77,2019-05-10
4.68,2019-05-11
5.71,2019-05-12
6.28,2019-05-13
8.31,2019-05-14
5.25,2019-05-15
5.14,2019-05-16
4.71,2019-05-17
11.5,2019-05-18
19.24,2019-05-19
4.71,2019-05-20
6.25,2019-05-21
5.71,2019-05-22
7.33,2019-05-23
6.74,2019-05-24
3.13,2019-05-25
4.12,2019-05-26
6.71,2019-05-27
4.67,2019-05-28
5.23,2019-05-29
11.43,2019-05-30
6.75,2019-05-31
0.0,2019-06-01
3.58,2019-06-02
4.71,2019-06-03
4.12,2019-06-04
4.12,2019-06-05
3.67,2019-06-06
4.17,2019-06-07
3.6,2019-06-08
4.23,2019-06-09
4.71,2019-06-10
5.25,2019-06-11
5.78,2019-06-12
5.21,2019-06-13
6.79,2019-06-14
0.0,2019-06-15
2.12,2019-06-16
3.67,2019-06-17
3.09,2019-06-18
4.63,2019-06-19
5.72,2019-06-20
4.72,2019-06-21
4.65,2019-06-22
4.64,2019-06-23
5.2,2019-06-24
6.7,2019-06-25
6.19,2019-06-26
5.77,2019-06-27
6.75,2019-06-28
7.21,2019-06-29
6.23,2019-06-30
5.22,2019-07-01
4.18,2019-07-02
5.77,2019-07-03
5.79,2019-07-04
4.18,2019-07-05
0.0,2019-07-06
5.74,2019-07-07
6.73,2019-07-08
5.73,2019-07-09
7.31,2019-07-10
7.34,2019-07-11
4.71,2019-07-12
4.69,2019-07-13
5.22,2019-07-14
6.76,2019-07-15
6.72,2019-07-16
7.86,2019-07-17
6.69,2019-07-18
5.74,2019-07-19
6.28,2019-07-20
6.27,2019-07-21
5.76,2019-07-22
5.78,2019-07-23
7.27,2019-07-24
7.21,2019-07-25
6.27,2019-07-26
4.68,2019-07-27
6.83,2019-07-28
8.87,2019-07-29
7.28,2019-07-30
8.34,2019-07-31
9.92,2019-08-01
5.22,2019-08-02
2.61,2019-08-03
4.68,2019-08-04
6.2,2019-08-05
10.39,2019-08-06
5.72,2019-08-07
8.96,2019-08-08
8.31,2019-08-09
4.63,2019-08-10
9.34,2019-08-11
10.42,2019-08-12
7.31,2019-08-13
5.74,2019-08-14
6.29,2019-08-15
5.2,2019-08-16
10.36,2019-08-17
6.77,2019-08-18
6.21,2019-08-19
8.31,2019-08-20
6.72,2019-08-21
4.71,2019-08-22
6.24,2019-08-23
10.38,2019-08-24
7.22,2019-08-25
6.2,2019-08-26
5.77,2019-08-27
6.25,2019-08-28
5.7,2019-08-29
5.78,2019-08-30
3.66,2019-08-31
5.71,2019-09-01
13.6,2019-09-02
7.78,2019-09-03
7.23,2019-09-04
6.81,2019-09-05
8.87,2019-09-06
3.12,2019-09-07
5.75,2019-09-08
6.31,2019-09-09
6.78,2019-09-10
5.74,2019-09-11
7.33,2019-09-12
7.34,2019-09-13
15.09,2019-09-14
7.81,2019-09-15
7.29,2019-09-16
8.84,2019-09-17
6.74,2019-09-18
8.8,2019-09-19
7.26,2019-09-20
3.12,2019-09-21
6.24,2019-09-22
5.75,2019-09-23
7.24,2019-09-24
7.28,2019-09-25
7.28,2019-09-26
7.28,2019-09-27
6.28,2019-09-28
7.28,2019-09-29
7.26,2019-09-30
5.74,2019-10-01
6.77,2019-10-02
7.81,2019-10-03
6.34,2019-10-04
7.87,2019-10-05
5.16,2019-10-06
6.78,2019-10-07
12.96,2019-10-08
5.77,2019-10-09
5.7,2019-10-10
5.21,2019-10-11
5.72,2019-10-12
7.82,2019-10-13
5.24,2019-10-14
6.71,2019-10-15
5.2,2019-10-16
6.76,2019-10-17
7.28,2019-10-18
4.21,2019-10-19
6.26,2019-10-20
5.69,2019-10-21
6.28,2019-10-22
7.78,2019-10-23
6.73,2019-10-24
7.33,2019-10-25
7.34,2019-10-26
7.33,2019-10-27
8.34,2019-10-28
6.77,2019-10-29
7.8,2019-10-30
6.76,2019-10-31
7.31,2019-11-01
4.71,2019-11-02
7.86,2019-11-03
8.28,2019-11-04
6.8,2019-11-05
5.68,2019-11-06
8.84,2019-11-07
6.26,2019-11-08
4.65,2019-11-09
21.06,2019-11-10
6.75,2019-11-11
8.31,2019-11-12
5.68,2019-11-13
6.72,2019-11-14
6.26,2019-11-15
9.34,2019-11-16
6.22,2019-11-17
6.74,2019-11-18
6.29,2019-11-19
5.76,2019-11-20
6.76,2019-11-21
5.76,2019-11-22
5.76,2019-11-23
4.7,2019-11-24
6.23,2019-11-25
6.78,2019-11-26
4.64,2019-11-27
5.77,2019-11-28
4.16,2019-11-29
6.69,2019-11-30
8.36,2019-12-01
4.21,2019-12-02
4.19,2019-12-03
3.68,2019-12-04
6.21,2019-12-05
4.72,2019-12-06
7.26,2019-12-07
15.72,2019-12-08
6.29,2019-12-09
7.86,2019-12-10
5.72,2019-12-11
9.35,2019-12-12
5.75,2019-12-13
6.74,2019-12-14
6.26,2019-12-15
5.75,2019-12-16
6.81,2019-12-17
6.19,2019-12-18
7.79,2019-12-19
5.71,2019-12-20
4.17,2019-12-21
4.18,2019-12-22
5.18,2019-12-23
2.04,2019-12-24
0.0,2019-12-25
2.61,2019-12-26
4.67,2019-12-27
8.8,2019-12-28
4.21,2019-12-29
5.73,2019-12-30
25.04,2019-12-31
48.03,2020-01-01
5.64,2020-01-02
6.18,2020-01-03
21.86,2020-01-04
14.59,2020-01-05
23.94,2020-01-06
5.73,2020-01-07
4.68,2020-01-08
5.68,2020-01-09
4.74,2020-01-10
5.16,2020-01-11
